Index;Issue;IVersion;OVersion;AVersion;FixVersion
208;TAJO-1689;0.11.3;0.11.1;0.11.3;0.11.0;
209;TAJO-169;0.2.0;0.2.0;;0.2.0;
210;TAJO-1697;0.10.0;0.11.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
211;TAJO-170;0.2.0;0.2.0;;0.2.0;
212;TAJO-1702;0.11.3;0.11.1;0.11.3;0.11.0;
213;TAJO-1707;0.11.0;0.11.1;0.11.0;0.12.0;
214;TAJO-171;0.2.0;0.2.0;;0.2.0;
215;TAJO-1712;0.11.3;0.11.1;0.11.3;0.11.0;
216;TAJO-1716;0.11.3;0.11.1;0.11.3;0.11.0;
217;TAJO-172;0.2.0;0.2.0;;0.2.0;
218;TAJO-1725;0.11.3;0.11.1;0.11.3;0.11.0;
219;TAJO-1727;0.11.0;0.11.1;0.11.0;0.12.0;
220;TAJO-1731;0.11.3;0.11.1;0.11.3;0.11.0;
221;TAJO-1732;0.11.3;0.11.1;0.11.3;0.11.0;
222;TAJO-1733;0.11.3;0.11.1;0.11.3;0.11.0;
223;TAJO-174;0.2.0;0.2.0;;0.2.0;
224;TAJO-1741;0.10.1;0.11.1;0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
225;TAJO-1742;0.11.3;0.11.1;0.11.3;0.11.0;
226;TAJO-1752;0.11.3;0.11.1;0.11.3;0.11.0;
227;TAJO-1753;0.11.0;0.11.1;0.11.0;0.12.0;
228;TAJO-1763;0.11.0;0.11.1;0.11.0;0.12.0;
229;TAJO-177;0.2.0;0.2.0;;0.2.0;
230;TAJO-1776;0.10.0;0.11.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
231;TAJO-1777;0.10.0;0.11.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
232;TAJO-1779;0.11.0;0.11.1;0.11.0;0.12.0;
233;TAJO-1781;0.11.0;0.11.1;;0.11.0;
234;TAJO-1782;0.11.0;0.11.1;;0.11.0;
235;TAJO-1783;0.11.0;0.11.1;;0.11.0;
236;TAJO-1790;0.11.0;0.11.1;0.11.0;0.12.0;
237;TAJO-1793;0.11.0;0.11.1;0.11.0;0.12.0;
238;TAJO-1796;0.10.1;0.11.1;0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
239;TAJO-1798;0.11.0;0.11.1;0.11.0;0.12.0;
240;TAJO-1799;0.11.0;0.11.1;0.11.0;0.12.0;
241;TAJO-180;0.2.0;0.2.0;;0.2.0;
242;TAJO-1800;0.11.3;0.11.1;0.11.3;0.11.0;
243;TAJO-1801;0.11.3;0.11.1;0.11.3;0.11.0;
244;TAJO-1802;0.11.3;0.11.1;0.11.3;0.11.0;
245;TAJO-1808;0.11.3;0.11.1;0.11.3;0.11.0;
246;TAJO-1811;0.11.3;0.11.1;0.11.3;0.11.0;
247;TAJO-1815;0.10.1;0.11.1;0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
248;TAJO-1819;0.11.3;0.11.1;0.11.3;0.11.0;
249;TAJO-182;0.2.0;0.2.0;0.2.0;0.8.0;
250;TAJO-1820;0.11.3;0.11.1;0.11.3;0.11.0;
251;TAJO-1821;0.11.3;0.11.1;0.11.3;0.11.0;
252;TAJO-1822;0.11.3;0.11.1;0.11.3;0.11.0;
253;TAJO-1823;0.11.3;0.11.1;0.11.3;0.11.0;
254;TAJO-1827;0.11.0;0.11.1;0.11.0;0.12.0;
255;TAJO-1829;0.11.0;0.11.1;0.11.0;0.12.0;
256;TAJO-1830;0.10.0;0.11.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
257;TAJO-1835;0.11.3;0.11.1;0.11.3;0.11.0;
258;TAJO-1846;0.11.3;0.11.1;0.11.3;0.11.0;
259;TAJO-1848;0.11.3;0.11.1;0.11.3;0.11.0;
260;TAJO-1851;0.11.0;0.11.1;0.11.0;0.12.0;
261;TAJO-186;0.2.0;0.2.0;;0.2.0;
262;TAJO-1861;0.11.3;0.11.1;0.11.3;0.11.0;
263;TAJO-1862;0.11.0;0.11.1;0.11.0;0.12.0;
264;TAJO-1869;0.9.0;0.11.1;0.9.0, 0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
265;TAJO-187;0.2.0;0.2.0;;0.2.0;
266;TAJO-1871;0.11.3;0.11.1;0.11.3;0.11.0;
267;TAJO-1873;0.11.0;0.11.1;0.11.0;0.12.0;
268;TAJO-1875;0.11.3;0.11.1;0.11.3;0.11.0;
269;TAJO-1884;0.11.0;0.11.1;0.11.0;0.12.0;
270;TAJO-1886;0.11.0;0.11.1;0.11.0;0.12.0;
271;TAJO-1889;0.11.3;0.11.1;0.11.3;0.11.0;
272;TAJO-189;0.2.0;0.2.0;;0.2.0;
273;TAJO-1894;0.11.3;0.11.1;0.11.3;0.11.0;
274;TAJO-1895;0.11.0;0.11.1;0.11.0;0.12.0;
275;TAJO-1896;0.12.0;0.11.1;;0.12.0;
276;TAJO-1900;0.11.3;0.11.1;0.11.3;0.11.0;
277;TAJO-1901;0.11.0;0.11.1;0.11.0;0.12.0;
278;TAJO-1902;0.11.0;0.11.1;0.11.0;0.12.0;
279;TAJO-1903;0.10.1;0.11.1;0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
280;TAJO-191;0.2.0;0.2.0;;0.2.0;
281;TAJO-1912;0.11.3;0.11.1;0.11.3;0.11.0;
282;TAJO-1913;0.11.0;0.11.1;0.11.0;0.12.0;
283;TAJO-1916;0.11.0;0.11.1;0.11.0;0.12.0;
284;TAJO-1917;0.11.0;0.11.1;;0.11.0;
285;TAJO-1918;0.10.1;0.11.1;0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
286;TAJO-1921;0.11.0;0.11.1;0.11.0;0.12.0;
287;TAJO-1923;0.11.3;0.11.1;0.11.3;0.11.0;
288;TAJO-1924;0.11.0;0.11.1;0.11.0;0.12.0;
289;TAJO-1926;0.11.0;0.11.1;;0.11.0;
290;TAJO-1928;0.11.0;0.11.1;0.11.0;0.12.0;
291;TAJO-1933;0.11.3;0.11.1;0.11.3;0.11.0;
292;TAJO-1935;0.10.1;0.11.1;0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
293;TAJO-1954;0.10.0;0.11.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
294;TAJO-1961;0.11.0;0.11.1;0.11.0;0.12.0;
295;TAJO-1964;0.11.0;0.11.1;0.11.0;0.12.0;
296;TAJO-1965;0.11.0;0.11.1;0.11.0;0.12.0;
297;TAJO-1972;0.11.0;0.11.1;0.11.0;0.12.0;
298;TAJO-1977;0.11.0;0.11.1;0.11.0;0.12.0;
299;TAJO-1978;0.11.0;0.11.1;0.11.0;0.12.0;
300;TAJO-198;0.2.0;0.2.0;;0.2.0;
301;TAJO-1980;0.11.0;0.11.1;0.11.0;0.12.0;
302;TAJO-1981;0.11.0;0.11.1;0.11.0;0.12.0;
303;TAJO-2000;0.8.0;0.11.1;0.8.0, 0.9.0, 0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
304;TAJO-2001;0.11.1;0.11.1;0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
305;TAJO-2010;0.11.0;0.11.1;0.11.0;0.12.0;
306;TAJO-2013;0.11.0;0.11.1;0.11.0;0.12.0;
307;TAJO-2014;0.11.0;0.11.1;0.11.0;0.12.0;
308;TAJO-2016;0.11.0;0.11.1;0.11.0;0.12.0;
309;TAJO-2025;0.11.0;0.11.1;0.11.0;0.12.0;
310;TAJO-203;0.2.0;0.2.0;;0.2.0;
311;TAJO-2034;0.11.0;0.11.1;0.11.0;0.12.0;
312;TAJO-2037;0.11.1;0.11.1;0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
313;TAJO-2038;0.11.0;0.11.1;0.11.0;0.12.0;
314;TAJO-205;0.2.0;0.2.0;;0.2.0;
315;TAJO-2062;0.12.0;0.11.1;;0.12.0;
316;TAJO-2066;0.11.1;0.11.1;0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
317;TAJO-2072;0.11.1;0.11.1;0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
318;TAJO-2077;0.10.0;0.11.2;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
319;TAJO-2078;0.12.0;0.11.2;;0.11.2;
320;TAJO-2080;0.11.0;0.11.2;0.11.0;0.12.0;
321;TAJO-2081;0.11.0;0.11.2;0.11.0;0.12.0;
322;TAJO-2082;0.11.0;0.11.2;0.11.0;0.12.0;
323;TAJO-209;0.2.0;0.2.0;;0.2.0;
324;TAJO-2092;0.11.1;0.11.2;0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
325;TAJO-2093;0.11.1;0.11.2;0.11.1;0.11.2;
326;TAJO-2095;0.11.0;0.11.2;0.11.0;0.12.0;
327;TAJO-21;0.2.0;0.2.0;;0.2.0;
328;TAJO-2100;0.11.0;0.11.2;0.11.0;0.12.0;
329;TAJO-2102;0.11.0;0.11.2;0.11.0;0.12.0;
330;TAJO-2107;0.11.1;0.11.2;0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
331;TAJO-2110;0.11.0;0.11.2;0.11.0;0.12.0;
332;TAJO-2119;0.11.0;0.11.3;0.11.0;0.12.0;
333;TAJO-2135;0.11.0;0.11.3;0.11.0;0.12.0;
334;TAJO-2140;0.11.0;0.11.3;0.11.0;0.12.0;
335;TAJO-2143;0.10.0;0.11.3;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3, 0.11.0;0.12.0;
336;TAJO-2150;0.11.0;0.11.3;0.11.0;0.12.0;
337;TAJO-2151;0.11.0;0.11.3;0.11.0;0.12.0;
338;TAJO-2158;0.11.3;0.11.3;0.11.3, 0.11.0;0.12.0;
339;TAJO-2162;0.11.3;0.11.0;;0.11.4;
340;TAJO-2163;0.11.0;0.11.0;0.11.0;0.12.0;
341;TAJO-2164;0.11.0;0.11.0;0.11.0;0.12.0;
342;TAJO-2168;0.11.3;0.11.0;0.11.3, 0.11.0;0.12.0;
