Dataset,TrainingRelease,%DataTraining,%BugInTraining,%BugInTesting,Classifier,Balancing,Selection,CostSensitive,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
TAJO,2,58.7,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,2470.0,110.0,1012.0,284.0,0.9573643410852714,0.896877269426289,0.9645128071694776,0.763744240358518,
TAJO,3,59.05,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,5817.0,427.0,2097.0,703.0,0.9316143497757847,0.8921779141104295,0.942837107327934,0.6995601110258697,
TAJO,4,59.46,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,12598.0,795.0,4371.0,1616.0,0.9406406331665795,0.8863092725481919,0.9481420920010322,0.6971550298943291,
TAJO,output-mean,59.43,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,5459.5,333.0,1945.75,659.75,0.957404831006909,0.909741012908993,0.9633899654544622,0.7714811257869645,
TAJO,1,60.49,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,952.0,28.0,275.0,37.0,0.9714285714285714,0.9625884732052579,0.9767275008592872,0.861306539302536,
TAJO,2,58.7,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,2540.0,241.0,881.0,214.0,0.9133405249910105,0.9222948438634713,0.9220977557194396,0.712580623711683,
TAJO,3,59.05,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,5782.0,494.0,2030.0,738.0,0.9212874442319949,0.8868098159509202,0.9179159212662732,0.6712047550541809,
TAJO,4,59.46,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,12696.0,929.0,4237.0,1518.0,0.9318165137614679,0.8932038834951457,0.9328165126060194,0.6883935639738976,
TAJO,output-mean,59.43,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,5492.5,423.0,1855.75,626.75,0.9344682636032612,0.9162242541286988,0.9373894226127548,0.7333713705105744,
TAJO,1,60.49,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,980.0,15.0,288.0,9.0,0.9849246231155779,0.9908998988877654,0.970697474196358,0.9479048012660908,
TAJO,2,58.7,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,2671.0,247.0,875.0,83.0,0.9153529814941741,0.9698620188816267,0.8748597081930415,0.7836588227175488,
TAJO,3,59.05,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,6389.0,951.0,1573.0,131.0,0.8704359673024523,0.9799079754601226,0.8015625455747523,0.6698093955238587,
TAJO,4,59.46,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,13942.0,1826.0,3340.0,272.0,0.8841958396752917,0.980863936963557,0.8136994868712482,0.6938274643795556,
TAJO,output-mean,59.43,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,5995.5,759.75,1519.0,123.75,0.913727352896874,0.980383457548268,0.86520480370885,0.7738001209717634,
TAJO,1,31.93,50.0,50.0,Random Forest,Undersampling,Best First,No cost sensitive,913.0,0.0,303.0,76.0,1.0,0.923154701718908,0.9895984542842555,0.8492762521681735,
TAJO,2,36.67,50.0,50.0,Random Forest,Undersampling,Best First,No cost sensitive,2435.0,98.0,1024.0,319.0,0.9613106987761547,0.884168482207698,0.9707052260397128,0.7528850352442142,
TAJO,3,35.82,50.0,50.0,Random Forest,Undersampling,Best First,No cost sensitive,5606.0,350.0,2174.0,914.0,0.9412357286769644,0.8598159509202454,0.9429545078899011,0.6749306958081712,
TAJO,4,34.77,50.0,50.0,Random Forest,Undersampling,Best First,No cost sensitive,12500.0,757.0,4409.0,1714.0,0.9428980915742626,0.8794146616012383,0.946611215946327,0.6920743262721306,
TAJO,output-mean,34.8,50.0,50.0,Random Forest,Undersampling,Best First,No cost sensitive,5363.5,301.25,1977.5,755.75,0.9613611297568454,0.8866384491120225,0.9624673510400491,0.7422915773731724,
TAJO,1,31.93,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive threshold,836.0,19.0,284.0,153.0,0.9777777777777777,0.8452982810920121,0.9482942733100408,0.6785223462151614,
TAJO,2,36.67,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive threshold,2208.0,170.0,952.0,546.0,0.928511354079058,0.8017429193899782,0.9054603124672329,0.5914960062458712,
TAJO,3,35.82,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive threshold,5241.0,435.0,2089.0,1279.0,0.9233615221987315,0.8038343558282208,0.8928653940575384,0.5727940881425527,
TAJO,4,34.77,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive threshold,11926.0,906.0,4260.0,2288.0,0.9293952618453866,0.8390319403405093,0.9138231442164871,0.6115812902165784,
TAJO,output-mean,34.8,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive threshold,5052.75,382.5,1896.25,1066.5,0.9397614789752384,0.8224768741626801,0.9151107810128248,0.613598432705041,
TAJO,1,31.93,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive learning,966.0,43.0,260.0,23.0,0.9573835480673935,0.9767441860465116,0.9174149973136848,0.8543887270454599,
TAJO,2,36.67,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive learning,2698.0,309.0,813.0,56.0,0.8972397738609911,0.9796659404502541,0.8521324354657688,0.754686947293951,
TAJO,3,35.82,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive learning,6408.0,1016.0,1508.0,112.0,0.8631465517241379,0.9828220858895705,0.7901432141016791,0.6518282780515987,
TAJO,4,34.77,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive learning,13954.0,1995.0,3171.0,260.0,0.8749137876982883,0.9817081750386942,0.7977646566250381,0.6668066170518304,
TAJO,output-mean,34.8,50.0,50.0,Random Forest,Undersampling,Best First,Sensitive learning,6006.5,840.75,1438.0,112.75,0.8981709153377027,0.9802350968562576,0.8393638258765427,0.73192764236071,
TAJO,1,55.25,50.0,50.0,Random Forest,Smote,Best First,No cost sensitive,988.0,0.0,303.0,1.0,1.0,0.9989888776541962,0.9999983314812776,0.997846738442052,
TAJO,2,56.32,50.0,50.0,Random Forest,Smote,Best First,No cost sensitive,2697.0,183.0,939.0,57.0,0.9364583333333333,0.9793028322440087,0.9832643363016297,0.8442942020077852,
TAJO,3,56.12,50.0,50.0,Random Forest,Smote,Best First,No cost sensitive,5964.0,465.0,2059.0,556.0,0.9276714885674289,0.9147239263803681,0.949168625368244,0.7225099586508188,
TAJO,4,55.88,50.0,50.0,Random Forest,Smote,Best First,No cost sensitive,13011.0,933.0,4233.0,1203.0,0.9330895008605852,0.9153651329674969,0.9517404334528983,0.7227386251898232,
TAJO,output-mean,55.89,50.0,50.0,Random Forest,Smote,Best First,No cost sensitive,5665.0,395.25,1883.5,454.25,0.9493048306903369,0.9520951923115175,0.9710429316510123,0.8218473810726198,
TAJO,1,55.25,50.0,50.0,Random Forest,Smote,Best First,Sensitive threshold,989.0,76.0,227.0,0.0,0.9286384976525821,1.0,0.9998231370154205,0.8205548996889608,
TAJO,2,56.32,50.0,50.0,Random Forest,Smote,Best First,Sensitive threshold,2748.0,362.0,760.0,6.0,0.8836012861736334,0.9978213507625272,0.9810492791557767,0.7452452087735919,
TAJO,3,56.12,50.0,50.0,Random Forest,Smote,Best First,Sensitive threshold,6487.0,1243.0,1281.0,33.0,0.8391979301423027,0.9949386503067484,0.9485197624279311,0.588994009502169,
TAJO,4,55.88,50.0,50.0,Random Forest,Smote,Best First,Sensitive threshold,14139.0,2459.0,2707.0,75.0,0.8518496204361972,0.9947235120303926,0.9512366851240925,0.6080336620527438,
