Index;Issue;IVersion;OVersion;AVersion;FixVersion
192;BOOKKEEPER-497;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
193;BOOKKEEPER-498;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
194;BOOKKEEPER-5;4.0.0;4.0.0;;4.0.0;
195;BOOKKEEPER-50;4.0.0;4.0.0;;4.0.0;
196;BOOKKEEPER-500;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
197;BOOKKEEPER-503;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
198;BOOKKEEPER-504;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
199;BOOKKEEPER-507;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
200;BOOKKEEPER-509;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
201;BOOKKEEPER-51;4.0.0;4.0.0;;4.0.0;
202;BOOKKEEPER-511;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
203;BOOKKEEPER-512;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
204;BOOKKEEPER-513;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
205;BOOKKEEPER-514;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
206;BOOKKEEPER-52;4.0.0;4.0.0;;4.0.0;
207;BOOKKEEPER-520;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
208;BOOKKEEPER-522;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
209;BOOKKEEPER-524;4.2.0;4.1.1;;4.2.0;
210;BOOKKEEPER-53;4.0.0;4.0.0;;4.0.0;
211;BOOKKEEPER-530;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
212;BOOKKEEPER-531;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
213;BOOKKEEPER-532;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
214;BOOKKEEPER-533;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
215;BOOKKEEPER-534;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
216;BOOKKEEPER-538;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
217;BOOKKEEPER-539;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
218;BOOKKEEPER-543;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
219;BOOKKEEPER-544;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
220;BOOKKEEPER-548;4.1.0;4.2.0;4.1.0, 4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
221;BOOKKEEPER-549;4.1.0;4.2.0;4.1.0, 4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
222;BOOKKEEPER-55;4.0.0;4.0.0;4.0.0, 4.1.0, 4.1.1;4.2.0;
223;BOOKKEEPER-554;4.2.0;4.2.1;4.2.0, 4.2.1, 4.2.2;4.3.0;
224;BOOKKEEPER-556;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
225;BOOKKEEPER-557;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
226;BOOKKEEPER-559;4.2.0;4.2.1;4.2.0, 4.2.1, 4.2.2;4.3.0;
