@relation 'TAJO'

@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
147,47,47,2,51,2754,54,65,646,12,24,1088,21,31,204,4,17,3,NO
81,1,1,1,12,24,2,2,972,81,81,972,81,81,972,81,81,1,YES
374,1,1,2,20,260,13,23,2720,136,234,2720,136,234,2720,136,234,2,NO
151,1,1,2,21,392,18,37,103,4,7,195,9,14,11,0,1,2,NO
254,1,1,1,11,110,10,10,154,14,14,154,14,14,154,14,14,1,NO
139,1,1,1,2,258,129,130,2,1,1,6,3,4,-2,-1,0,1,NO
130,1,1,1,6,306,51,130,18,3,4,48,8,11,-12,-2,0,2,NO
337,47,47,2,51,2754,54,65,850,16,33,1632,32,62,68,1,4,3,NO
117,1,1,1,3,3,1,1,3,1,1,45,15,15,-39,-13,0,1,NO
69,47,47,1,17,765,45,45,561,33,33,595,35,35,527,31,31,1,NO
191,1,1,1,4,48,12,12,104,26,26,120,30,30,88,22,22,1,NO
1358,1,1,3,23,309,13,50,468,20,47,3343,145,517,-2407,-104,38,4,NO
103,1,1,1,10,370,37,37,90,9,9,150,15,15,30,3,3,1,NO
253,1,1,1,10,580,58,58,380,38,38,460,46,46,300,30,30,1,NO
451,1,1,2,21,502,23,37,140,6,10,203,9,13,77,3,7,2,NO
161,47,47,2,51,2754,54,65,306,6,12,578,11,20,34,0,4,3,NO
163,1,1,1,2,100,50,50,46,23,23,60,30,30,32,16,16,1,NO
170,20,20,1,17,34,2,2,51,3,3,51,3,3,51,3,3,1,NO
112,1,1,1,10,10,1,1,20,2,2,40,4,4,0,0,0,1,NO
93,1,1,1,10,580,58,58,10,1,1,10,1,1,10,1,1,1,NO
79,1,1,1,12,28,2,3,52,4,11,68,5,13,36,3,9,2,NO
52,42,42,1,17,1105,65,65,34,2,2,68,4,4,0,0,0,1,NO
147,42,42,1,51,2091,41,52,2584,50,146,2601,51,146,2567,50,146,3,NO
205,20,20,1,12,120,10,10,24,2,2,36,3,3,12,1,1,1,YES
92,1,1,1,8,32,4,4,8,1,1,16,2,2,0,0,0,1,NO
175,3,3,1,34,478,14,27,111,3,7,222,6,10,0,0,4,3,NO
181,1,1,1,2,100,50,50,82,41,41,148,74,74,16,8,8,1,NO
664,1,1,3,27,328,12,130,1176,43,71,1962,72,138,390,14,45,5,NO
66,8,8,1,41,726,17,30,1121,27,61,1133,27,61,1109,27,61,3,YES
